1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2005,48120DBLGL3000M,110000405598,GREAT LAKES WORKS EGL DEARBORN,3000 MILLER RD,DEARBORN,WAYNE,MI,48120,,,42.312399,-83.158926,,US STEEL CORP,029990699,US STEEL CORP,,,,NO,332,Fabricated Metals,3479,,,,,,332812,,,,,,1305204121370,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007647010,7647-01-0,152231,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,5659.000,230.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5889.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5889.000,0.000,0.000,5889.000,0.000,0.000,0.000,0.000,0.000,0.000,110000.000,0.000,115889.000,,,1.060
2005,49441CNNNM2875L,110000410751,CANNON-MUSKEGON,2875 LINCOLN ST,MUSKEGON,MUSKEGON,MI,49441,,,43.200686,-86.303321,,PRECISION CASTPARTS CORP,009027970,BERKSHIRE HATHAWAY INC,NA,,NA,NO,331,Primary Metals,3325,,,,,,331513,,,,,,1305203606126,Nickel,NO,0007440020,7440-02-0,149674,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,3698.180,103.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3801.640,0.227,0.000,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2529.380,0.000,0.000,0.000,2529.607,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2529.607,6331.247,0.000,0.000,3801.640,0.000,2529.380,0.000,0.000,0.000,0.000,0.000,0.000,6331.020,,,1.260
2005,49441CWCCS2672H,110000410760,CWC TEXTRON,1085 W SHERMAN BLVD,MUSKEGON,MUSKEGON,MI,49441,,,43.205296,-86.269832,,TEXTRON INC,001339879,TEXTRON INC,NA,,NA,NO,331,Primary Metals,3321,,,,,,331511,,,,,,1305203544972,Copper,NO,0007440508,7440-50-8,150086,NO,TRI,YES,Elemental metals,NO,NO,NO,R,Pounds,0.000,3864.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3864.092,5.169,0.000,5.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5264.000,0.000,0.000,0.000,0.000,0.000,0.000,5269.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5269.169,9133.262,0.000,0.000,3864.092,5264.000,5.169,0.000,0.000,316160.000,0.000,0.000,0.000,325293.261,0.000,,0.950
2005,48121FRDRG3001M,110050297717,FORD MOTOR CO ROUGE POWER & UTILITIES OPERATIONS,3001 MILLER RD,DEARBORN,WAYNE,MI,48121,,,42.308870,-83.156787,,ROUGE STEEL CO & FORD MOTOR CO,005778980,,,,,NO,2211,Electric Utilities,4911,NA,,,,,221122,,,,,,1305203869918,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.670
2005,48183DTRTD4695W,110000406267,DTE ELECTRIC CO - TRENTON CHANNEL POWER PLANT,4695 W JEFFERSON AVE,TRENTON,WAYNE,MI,48183,,,42.125488,-83.185717,,DTE ENERGY CO,839329158,DTE ENERGY CO,,,,NO,2211,Electric Utilities,4911,,,,,,221112,,,,,,1305203589698,"Benzo[g,h,i]perylene",NO,0000191242,191-24-2,40576,YES,PBT,NO,Non_Metal,NO,YES,NO,R,Pounds,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.004,0.000,0.124,0.189,0.000,0.000,0.070,0.120,0.000,0.000,0.000,0.000,0.000,680.000,0.000,680.190,,,1.010
2005,48192BSFCR1609B,110000494019,BASF CORP,1609 BIDDLE AVE,WYANDOTTE,WAYNE,MI,481923729,,,42.217719,-83.150277,,BASF CORP,071014385,BASF CORP,,,BASF SE,NO,325,Chemicals,2869,3089,3087,2821,,,325199,,,,,,1305203591538,Diaminotoluene (mixed isomers),NO,0025376458,25376-45-8,232421,NO,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,5.000,6.000,74.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,88.000,0.000,74.000,74.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1125.000,4.000,0.000,0.000,0.000,0.000,1203.000,0.000,1203.000,88.000,0.000,0.000,88.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1200.000,1288.000,0.000,,2.200
2005,48183DTRTD4695W,110000406267,DTE ELECTRIC CO - TRENTON CHANNEL POWER PLANT,4695 W JEFFERSON AVE,TRENTON,WAYNE,MI,48183,,,42.125488,-83.185717,,DTE ENERGY CO,839329158,DTE ENERGY CO,,,,NO,2211,Electric Utilities,4911,,,,,,221112,,,,,,1305203589736,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,0007647010,7647-01-0,152231,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,1900000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1900000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1900000.000,0.000,0.000,1900000.000,0.000,0.000,0.000,0.000,0.000,0.000,100000.000,0.000,2000000.000,,,0.960
2005,48026PMGNT34559,110013763677,GLOBAL AUTOMOTIVE (PLANT 4),34559 COMMERCE RD,FRASER,MACOMB,MI,48026,,,42.551336,-82.942808,,GLOBAL AUTOMOTIVE SYSTEMS,614897440,,,,,NO,336,Transportation Equipment,3714,,,,,,336399,,,,,,1305204080194,Nickel,NO,0007440020,7440-02-0,149674,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4900.000,4900.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4900.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,4900.000,0.000,0.000,4901.000,,,0.760
2005,48211CHMCL5485C,110000406659,CHEMICAL PROCESSING INC.,5485 CONCORD AVE,DETROIT,WAYNE,MI,48211,,,42.378971,-83.026966,,NA,NA,,,,,NO,332,Fabricated Metals,3479,3471,,,,,332812,,,,,,1305204061446,Zinc compounds,NO,N982,N982,649699,NO,TRI,YES,Metal complound categories,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
2005,49508STLCS43805,110000411670,STEELCASE INC KENTWOOD COMPLEX,4380 52ND ST SE,KENTWOOD,KENT,MI,49508,,,42.868929,-85.557015,,STEELCASE INC,006016547,STEELCASE INC,,,,NO,337,Furniture,2521,2522,,,,,337211,,,,,,1305203509524,Diisocyanates,NO,N120,N120,649715,NO,TRI,NO,Non_Metal,NO,NO,NO,A,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
