County,Percent of Adults Without a High School Education,Percent of Residents Aged 65 and Older,Percent of Residents Below the Poverty Line,Percent of Residents Who Are Food Insecure,Percent of Residents Who Are Non-White,Percent of Residents Who Are Uninsured,Percent of Residents Whose Primary Language Is Not English,Percent of Residents With a Disability,"Percent of Workforce (Age 16+) Who Are Unemployed, 2018-2022",Overall Cancer Incidence,Cancer Incidence Among Female Residents,Cancer Incidence Among Male Residents,Cancer Incidence Among Adolescent and Young Adult Residents (Ages 15-39),Cancer Incidence Among Black (Non-Hispanic) Residents,Cancer Incidence Among White (Non-Hispanic) Residents,Liver Cancer Incidence,Melanoma Incidence,Oral Cancer Incidence,Ovarian Cancer Incidence,Pancreatic Cancer Incidence,Uterine Cancer Incidence,Overall Cancer Mortality,Cancer Mortality Among Female Residents,Cancer Mortality Among Male Residents,Cancer Mortality Among Adolescent and Young Adult Residents (Ages 15-39),Cancer Mortality Among Black (Non-Hispanic) Residents,Cancer Mortality Among White (Non-Hispanic) Residents,Liver Cancer Mortality,Melanoma Mortality,Oral Cancer Mortality,Ovarian Cancer Mortality,Pancreatic Cancer Mortality,Uterine Cancer Mortality
Alcona,0.1015581213,0.361,0.1583728278,0.149,0.0620238328,0.043,0.018700091,0.23,0.063,445.851427011956,420.044736440643,473.547605144396,Suppressed,,,Suppressed,18.7606364453581,Suppressed,Suppressed,Suppressed,Suppressed,180.622592433288,156.898439773173,208.740228915531,0,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alger,0.0832530618,0.25,0.1025083184,0.134,0.1804646966,0.035,0.0209356725,0.183,0.051,371.092128897961,304.869685523001,440.64051938543,Suppressed,,,Suppressed,Suppressed,Suppressed,0,Suppressed,Suppressed,144.268598163167,131.01692788583,164.437403618494,0,,,Suppressed,Suppressed,0,Suppressed,Suppressed,0
Allegan,0.0914814815,0.174,0.0951143189,0.087,0.1380908403,0.051,0.0656870455,0.106,0.034,417.045093647193,404.753387024778,438.038542903337,71.0192319963785,,,6.20562675330023,24.6303928831342,11.3246623251157,7.45820419161979,11.8974372315545,29.3081808811682,166.616850897261,144.608998944609,194.198551623425,Suppressed,,,3.86947472557368,3.21243587508653,3.45249622633611,5.39859305824813,10.93366238254,Suppressed
Alpena,0.0848415328,0.24,0.1650926774,0.14,0.0575213587,0.055,0.0288998477,0.199,0.074,483.590692266438,465.069885410152,516.710280905869,83.7590569307852,,,8.61815990376685,20.6290784630393,18.6645264924234,Suppressed,13.2921132663575,28.4267926466658,182.065644350152,167.594032907809,202.233660720223,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,10.8824530429278,Suppressed
Antrim,0.0690465247,0.279,0.0938019878,0.115,0.067069563,0.056,0.0210706902,0.155,0.046,417.283141396423,337.784099530976,508.484651240704,Suppressed,,,Suppressed,40.190780816654,11.3304004175816,Suppressed,12.681108868934,28.360872351442,140.323180926738,115.456809957098,171.345024483849,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,14.7817210471418,Suppressed
Arenac,0.1154472869,0.256,0.1355852528,0.144,0.0655312354,0.057,0.0162941299,0.195,0.072,442.972031217866,389.385277921064,496.775982477072,Suppressed,,,Suppressed,27.2764057274104,Suppressed,Suppressed,Suppressed,Suppressed,165.813399172195,147.277496192336,183.663258723062,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Baraga,0.0983918129,0.229,0.1217379234,0.138,0.278835658,0.047,0.0250632911,0.197,0.049,339.990093481994,277.112886030909,410.11005494095,Suppressed,,,Suppressed,Suppressed,Suppressed,0,Suppressed,Suppressed,181.581278481562,147.019422513177,225.937675518165,0,,,Suppressed,Suppressed,0,Suppressed,Suppressed,0
Barry,0.0740877107,0.188,0.0833979453,0.093,0.0742397852,0.049,0.0349867513,0.136,0.053,425.018815808729,391.109771292445,470.352216551746,86.3440978346413,,,5.86197681019684,24.2834244899694,10.2077330343195,Suppressed,11.2055298971003,33.9419910718372,156.36134670148,135.181899105177,185.868594413207,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,13.2318460518555,Suppressed
Bay,0.0956600144,0.208,0.1528473472,0.131,0.1107255764,0.052,0.020242833,0.158,0.048,489.820071201491,466.215892344432,529.999339083114,82.0436404706923,,,8.37318821622546,25.6243308262897,13.6140828045382,9.24658688366538,14.3332419446884,34.0002159999967,174.609885233744,151.827306918035,207.370361991236,Suppressed,,,5.24107086580063,3.02481219317473,Suppressed,6.34415555982687,12.1220046490297,Suppressed
Benzie,0.0728818097,0.27,0.1044541681,0.109,0.0763096688,0.067,0.0292908828,0.156,0.045,463.916848701609,390.685729808784,542.404646489965,Suppressed,,,Suppressed,26.0479698900653,16.7369613051385,Suppressed,13.2814511350895,31.6608042366451,145.677992997807,117.408309483755,178.168355213095,Suppressed,,,Suppressed,Suppressed,Suppressed,0,11.5348239005223,Suppressed
